Date,RegionName,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/04/1968 00:00,East Midlands,2914,,,,,
01/05/1968 00:00,East Midlands,2914,,,,,
01/06/1968 00:00,East Midlands,2914,,,,,
01/07/1968 00:00,East Midlands,3057,,,,,
01/08/1968 00:00,East Midlands,3057,,,,,
01/09/1968 00:00,East Midlands,3057,,,,,
01/10/1968 00:00,East Midlands,2961,,,,,
01/11/1968 00:00,East Midlands,2961,,,,,
01/12/1968 00:00,East Midlands,2961,,,,,
01/01/1969 00:00,East Midlands,2995,,,,,
01/02/1969 00:00,East Midlands,2995,,,,,
01/03/1969 00:00,East Midlands,2995,,,,,
01/04/1969 00:00,East Midlands,2995,,,,,
01/05/1969 00:00,East Midlands,2995,,,,,
01/06/1969 00:00,East Midlands,2995,,,,,
01/07/1969 00:00,East Midlands,3043,,,,,
01/08/1969 00:00,East Midlands,3043,,,,,
01/09/1969 00:00,East Midlands,3043,,,,,
01/10/1969 00:00,East Midlands,3059,,,,,
01/11/1969 00:00,East Midlands,3059,,,,,
01/12/1969 00:00,East Midlands,3059,,,,,
01/01/1970 00:00,East Midlands,3043,,,,,
01/02/1970 00:00,East Midlands,3043,,,,,
01/03/1970 00:00,East Midlands,3043,,,,,
01/04/1970 00:00,East Midlands,3011,,,,,
01/05/1970 00:00,East Midlands,3011,,,,,
01/06/1970 00:00,East Midlands,3011,,,,,
01/07/1970 00:00,East Midlands,3249,,,,,
01/08/1970 00:00,East Midlands,3249,,,,,
01/09/1970 00:00,East Midlands,3249,,,,,
01/10/1970 00:00,East Midlands,3312,,,,,
01/11/1970 00:00,East Midlands,3312,,,,,
01/12/1970 00:00,East Midlands,3312,,,,,
01/01/1971 00:00,East Midlands,3296,,,,,
01/02/1971 00:00,East Midlands,3296,,,,,
01/03/1971 00:00,East Midlands,3296,,,,,
01/04/1971 00:00,East Midlands,3391,,,,,
01/05/1971 00:00,East Midlands,3391,,,,,
01/06/1971 00:00,East Midlands,3391,,,,,
01/07/1971 00:00,East Midlands,3534,,,,,
01/08/1971 00:00,East Midlands,3534,,,,,
01/09/1971 00:00,East Midlands,3534,,,,,
01/10/1971 00:00,East Midlands,3661,,,,,
01/11/1971 00:00,East Midlands,3661,,,,,
01/12/1971 00:00,East Midlands,3661,,,,,
01/01/1972 00:00,East Midlands,3803,,,,,
01/02/1972 00:00,East Midlands,3803,,,,,
01/03/1972 00:00,East Midlands,3803,,,,,
01/04/1972 00:00,East Midlands,4136,,,,,
01/05/1972 00:00,East Midlands,4136,,,,,
01/06/1972 00:00,East Midlands,4136,,,,,
01/07/1972 00:00,East Midlands,4738,,,,,
01/08/1972 00:00,East Midlands,4738,,,,,
01/09/1972 00:00,East Midlands,4738,,,,,
01/10/1972 00:00,East Midlands,5182,,,,,
01/11/1972 00:00,East Midlands,5182,,,,,
01/12/1972 00:00,East Midlands,5182,,,,,
01/01/1973 00:00,East Midlands,5974,,,,,
01/02/1973 00:00,East Midlands,5974,,,,,
01/03/1973 00:00,East Midlands,5974,,,,,
01/04/1973 00:00,East Midlands,6355,,,,,
01/05/1973 00:00,East Midlands,6355,,,,,
01/06/1973 00:00,East Midlands,6355,,,,,
01/07/1973 00:00,East Midlands,6909,,,,,
01/08/1973 00:00,East Midlands,6909,,,,,
01/09/1973 00:00,East Midlands,6909,,,,,
01/10/1973 00:00,East Midlands,7226,,,,,
01/11/1973 00:00,East Midlands,7226,,,,,
01/12/1973 00:00,East Midlands,7226,,,,,
01/01/1974 00:00,East Midlands,6941,,,,,
01/02/1974 00:00,East Midlands,6941,,,,,
