Date,AveragePrice,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice
01/04/1968 00:00,3311,,,,,
01/05/1968 00:00,3311,,,,,
01/06/1968 00:00,3311,,,,,
01/07/1968 00:00,3424,,,,,
01/08/1968 00:00,3424,,,,,
01/09/1968 00:00,3424,,,,,
01/10/1968 00:00,3405,,,,,
01/11/1968 00:00,3405,,,,,
01/12/1968 00:00,3405,,,,,
01/01/1969 00:00,3461,,,,,
01/02/1969 00:00,3461,,,,,
01/03/1969 00:00,3461,,,,,
01/04/1969 00:00,3517,,,,,
01/05/1969 00:00,3517,,,,,
01/06/1969 00:00,3517,,,,,
01/07/1969 00:00,3554,,,,,
01/08/1969 00:00,3554,,,,,
01/09/1969 00:00,3554,,,,,
01/10/1969 00:00,3592,,,,,
01/11/1969 00:00,3592,,,,,
01/12/1969 00:00,3592,,,,,
01/01/1970 00:00,3611,,,,,
01/02/1970 00:00,3611,,,,,
01/03/1970 00:00,3611,,,,,
01/04/1970 00:00,3667,,,,,
01/05/1970 00:00,3667,,,,,
01/06/1970 00:00,3667,,,,,
01/07/1970 00:00,3835,,,,,
01/08/1970 00:00,3835,,,,,
01/09/1970 00:00,3835,,,,,
01/10/1970 00:00,3835,,,,,
01/11/1970 00:00,3835,,,,,
01/12/1970 00:00,3835,,,,,
01/01/1971 00:00,3929,,,,,
01/02/1971 00:00,3929,,,,,
01/03/1971 00:00,3929,,,,,
01/04/1971 00:00,4041,,,,,
01/05/1971 00:00,4041,,,,,
01/06/1971 00:00,4041,,,,,
01/07/1971 00:00,4284,,,,,
01/08/1971 00:00,4284,,,,,
01/09/1971 00:00,4284,,,,,
01/10/1971 00:00,4471,,,,,
01/11/1971 00:00,4471,,,,,
01/12/1971 00:00,4471,,,,,
01/01/1972 00:00,4752,,,,,
01/02/1972 00:00,4752,,,,,
01/03/1972 00:00,4752,,,,,
01/04/1972 00:00,5201,,,,,
01/05/1972 00:00,5201,,,,,
01/06/1972 00:00,5201,,,,,
01/07/1972 00:00,5986,,,,,
01/08/1972 00:00,5986,,,,,
01/09/1972 00:00,5986,,,,,
01/10/1972 00:00,6417,,,,,
01/11/1972 00:00,6417,,,,,
01/12/1972 00:00,6417,,,,,
01/01/1973 00:00,7146,,,,,
01/02/1973 00:00,7146,,,,,
01/03/1973 00:00,7146,,,,,
01/04/1973 00:00,7502,,,,,
01/05/1973 00:00,7502,,,,,
01/06/1973 00:00,7502,,,,,
01/07/1973 00:00,8007,,,,,
01/08/1973 00:00,8007,,,,,
01/09/1973 00:00,8007,,,,,
01/10/1973 00:00,8100,,,,,
01/11/1973 00:00,8100,,,,,
