year,detached,semidetached,terraced,flat
2005,238298.83333333334,143954.75,115673.5,111432.33333333333
2006,252795,154185.83333333334,126262.33333333333,121073.33333333333
2007,276907.75,167808.75,139459.91666666666,134728.58333333334
2008,263894.5,159731.75,132915.41666666666,131311.75
2009,242319.66666666666,145843.66666666666,121156.58333333333,118075.25
2010,260194.41666666666,154618.5,127861.25,122405
2011,257178.75,151794.08333333334,125272.75,122001.91666666667
2012,255923.91666666666,152373.33333333334,126527.83333333333,122697
2013,261048.25,155700.91666666666,129725.83333333333,127691.41666666667
2014,278437.5,166821.75,140126.08333333334,142297.58333333334
2015,295288.3333333333,176574.91666666666,148302.83333333334,150502.33333333334
2016,315034.8333333333,188619.41666666666,158579.58333333334,162083.16666666666
2017,329963.25,197306.08333333334,164994.25,170371.25
2018,342331.9166666667,205098,170757.58333333334,171980.5
2019,346441.9166666667,208462.66666666666,173019.33333333334,170892.33333333334
2020,357746.25,215315,178956.91666666666,172473
2021,383565.4166666667,232945.66666666666,195639.5,185501.75
2022,423247.6666666667,256667.16666666666,214619.66666666666,195964.5
2023,426177,258728.83333333334,214733.91666666666,193969.91666666666
2024,426976.8333333333,263044.8333333333,219161.16666666666,194810.25
