year,month,month_name_abbreved,sales_volume
2005,1,Jan,65834
2005,2,Feb,67225
2005,3,Mar,81297
2005,4,Apr,97185
2005,5,May,97786
2005,6,Jun,111974
2005,7,Jul,117771
2005,8,Aug,114613
2005,9,Sep,117124
2005,10,Oct,108303
2005,11,Nov,111610
2005,12,Dec,122222
2006,1,Jan,88382
2006,2,Feb,90058
2006,3,Mar,118864
2006,4,Apr,110370
2006,5,May,121888
2006,6,Jun,146253
2006,7,Jul,134426
2006,8,Aug,141486
2006,9,Sep,137213
2006,10,Oct,133356
2006,11,Nov,135279
2006,12,Dec,142000
2007,1,Jan,101538
2007,2,Feb,99013
2007,3,Mar,123076
2007,4,Apr,112054
2007,5,May,125934
2007,6,Jun,145599
2007,7,Jul,134755
2007,8,Aug,144901
2007,9,Sep,114685
2007,10,Oct,119246
2007,11,Nov,118226
2007,12,Dec,95060
2008,1,Jan,67660
2008,2,Feb,71682
2008,3,Mar,69246
2008,4,Apr,74444
2008,5,May,77830
2008,6,Jun,70467
2008,7,Jul,62373
2008,8,Aug,57673
2008,9,Sep,49483
2008,10,Oct,53405
2008,11,Nov,43044
2008,12,Dec,46373
2009,1,Jan,31422
2009,2,Feb,31888
2009,3,Mar,41978
2009,4,Apr,45378
2009,5,May,52300
2009,6,Jun,60728
2009,7,Jul,71336
2009,8,Aug,65968
2009,9,Sep,66256
2009,10,Oct,74416
2009,11,Nov,69160
2009,12,Dec,87202
2010,1,Jan,41085
2010,2,Feb,47348
2010,3,Mar,58047
2010,4,Apr,59555
2010,5,May,59095
2010,6,Jun,70937
2010,7,Jul,76003
2010,8,Aug,69123
2010,9,Sep,64886
2010,10,Oct,66726
2010,11,Nov,63565
2010,12,Dec,63541
2011,1,Jan,42399
2011,2,Feb,44207
2011,3,Mar,52889
2011,4,Apr,57449
2011,5,May,55691
2011,6,Jun,65290
2011,7,Jul,70316
2011,8,Aug,72144
2011,9,Sep,71811
2011,10,Oct,65175
2011,11,Nov,67798
2011,12,Dec,70770
2012,1,Jan,49493
2012,2,Feb,50099
2012,3,Mar,69452
2012,4,Apr,50094
2012,5,May,59800
2012,6,Jun,68568
2012,7,Jul,66631
2012,8,Aug,73921
2012,9,Sep,60043
2012,10,Oct,66842
2012,11,Nov,72293
2012,12,Dec,63795
2013,1,Jan,49129
2013,2,Feb,50648
2013,3,Mar,62193
2013,4,Apr,58521
2013,5,May,75384
2013,6,Jun,75229
2013,7,Jul,82886
2013,8,Aug,89695
2013,9,Sep,79217
2013,10,Oct,88422
2013,11,Nov,95708
2013,12,Dec,90540
2014,1,Jan,75540
2014,2,Feb,74421
2014,3,Mar,78289
2014,4,Apr,82048
2014,5,May,90739
2014,6,Jun,93994
2014,7,Jul,97288
2014,8,Aug,101680
2014,9,Sep,90912
2014,10,Oct,100184
2014,11,Nov,86142
2014,12,Dec,88917
2015,1,Jan,66819
2015,2,Feb,67070
2015,3,Mar,77669
2015,4,Apr,75240
2015,5,May,86144
2015,6,Jun,96979
2015,7,Jul,106216
2015,8,Aug,96533
2015,9,Sep,94554
2015,10,Oct,104451
2015,11,Nov,93854
2015,12,Dec,94397
2016,1,Jan,70959
2016,2,Feb,75907
2016,3,Mar,138124
2016,4,Apr,63854
2016,5,May,72174
2016,6,Jun,88475
2016,7,Jul,93197
2016,8,Aug,94407
2016,9,Sep,91720
2016,10,Oct,85296
2016,11,Nov,88926
2016,12,Dec,94685
2017,1,Jan,68663
2017,2,Feb,71432
2017,3,Mar,89388
2017,4,Apr,75980
2017,5,May,83671
2017,6,Jun,101940
2017,7,Jul,92257
2017,8,Aug,98938
2017,9,Sep,94287
2017,10,Oct,92827
2017,11,Nov,92234
2017,12,Dec,91613
2018,1,Jan,68244
2018,2,Feb,69001
2018,3,Mar,81852
2018,4,Apr,71868
2018,5,May,81591
2018,6,Jun,96025
2018,7,Jul,89227
2018,8,Aug,102004
2018,9,Sep,83605
2018,10,Oct,92640
2018,11,Nov,99031
2018,12,Dec,83841
2019,1,Jan,65601
2019,2,Feb,67760
2019,3,Mar,78959
2019,4,Apr,73565
2019,5,May,82430
2019,6,Jun,84291
2019,7,Jul,89178
2019,8,Aug,95776
2019,9,Sep,84027
2019,10,Oct,90628
2019,11,Nov,93442
2019,12,Dec,84961
2020,1,Jan,68598
2020,2,Feb,67476
2020,3,Mar,69214
2020,4,Apr,28361
2020,5,May,36385
2020,6,Jun,53441
2020,7,Jul,63988
2020,8,Aug,67751
2020,9,Sep,78115
2020,10,Oct,97910
2020,11,Nov,96257
2020,12,Dec,104611
2021,1,Jan,84580
2021,2,Feb,104032
2021,3,Mar,148772
2021,4,Apr,96367
2021,5,May,86769
2021,6,Jun,183609
2021,7,Jul,70000
2021,8,Aug,88912
2021,9,Sep,142758
2021,10,Oct,71199
2021,11,Nov,84595
2021,12,Dec,91915
2022,1,Jan,70157
2022,2,Feb,78312
2022,3,Mar,89747
2022,4,Apr,82763
2022,5,May,82670
2022,6,Jun,86158
2022,7,Jul,92524
2022,8,Aug,95105
2022,9,Sep,95974
2022,10,Oct,91660
2022,11,Nov,93069
2022,12,Dec,87479
2023,1,Jan,60608
2023,2,Feb,59690
2023,3,Mar,70607
2023,4,Apr,52097
2023,5,May,56484
2023,6,Jun,70796
2023,7,Jul,65177
2023,8,Aug,72741
2023,9,Sep,71120
2023,10,Oct,68773
2023,11,Nov,67173
2023,12,Dec,64072
